"","No","surname","first_name","Games","Age","Date of Birth","Height","Weight","Origin","Position_1","Position_2"
"31","8","Rachele","Josh","34","20yr 9mth","11 Apr 2003","179cm","84kg","Murray Bushrangers","Midfield","Forward"
"32","23","Rankine","Izak","68","23yr 9mth","23 Apr 2000","181cm","82kg","West Adelaide","Forward",NA
"33","22","Ryan","Oscar","0","18yr 8mth","15 May 2005","187cm","77kg","Murray Bushrangers","Defender",NA
"34","26","Schoenberg","Harry","57","22yr 11mth","21 Feb 2001","183cm","86kg","Woodville West Torrens","Midfield",NA
"35","38","Sholl","Lachlan","54","23yr 10mth","7 Mar 2000","186cm","87kg","Calder Cannons","Midfield",NA
"36","9","Sloane","Rory","255","33yr 10mth","17 Mar 1990","183cm","87kg","Eastern Ranges","Midfield",NA
"37","33","Smith","Brodie","247","32yr","14 Jan 1992","189cm","88kg","Woodville West Torrens","Defender",NA
"38","14","Soligo","Jake","37","21yr","25 Jan 2003","180cm","84kg","Eastern Ranges","Midfield","Forward"
"39","45","Strachan","Kieran","5","28yr 4mth","5 Oct 1995","204cm","102kg","Port Melbourne","Ruck",NA
"40","19","Taylor","Zac","0","21yr","31 Jan 2003","182cm","81kg","Calder Cannons","Midfield",NA
"41","7","Thilthorpe","Riley","46","21yr 6mth","7 Jul 2002","202cm","103kg","West Adelaide Fc","Forward",NA
"42","13","Walker","Taylor","260","33yr 9mth","25 Apr 1990","194cm","102kg","Broken Hill North","Forward",NA
"43","24","Worrell","Josh","17","22yr 9mth","11 Apr 2001","195cm","93kg","Sandringham Dragons","Defender",NA
"44","4","Ah Chee","Callum","117","26yr 3mth","9 Oct 1997","183cm","80kg","South Fremantle","Midfield",NA
"45","31","Andrews","Harris","186","27yr 1mth","11 Dec 1996","202cm","98kg","Aspley","Defender",NA
"46","43","Answerth","Noah","55","24yr 6mth","6 Aug 1999","183cm","82kg","Oakleigh Chargers","Defender","Forward"
"47","8","Ashcroft","Will","18","19yr 9mth","6 May 2004","182cm","78kg","Sandringham Dragons","Midfield",NA
"48","33","Bailey","Zac","118","24yr 4mth","23 Sep 1999","182cm","84kg","Norwood","Midfield","Forward"
"49","7","Berry","Jarrod","133","26yr","5 Feb 1998","192cm","89kg","North Ballarat Rebels","Midfield",NA
"50","34","Brain","Shadeau","0","19yr 11mth","13 Feb 2004","183cm","83kg","Noosa","Forward",NA
"51","23","Cameron","Charlie","202","29yr 7mth","5 Jul 1994","180cm","76kg","Swan Districts","Forward",NA
"52","18","Coleman","Keidean","64","23yr 10mth","31 Mar 2000","182cm","82kg","Brisbane","Defender",NA
"53","3","Daniher","Joe","177","29yr 11mth","4 Mar 1994","201cm","96kg","Calder Cannons","Forward",NA
"54","12","Doedee","Tom","82","26yr 11mth","1 Mar 1997","190cm","90kg","Geelong Falcons","Defender",NA
"55","5","Dunkley","Josh","140","27yr","9 Jan 1997","191cm","87kg","Gippsland Power","Midfield","Forward"
"56","28","Fletcher","Jaspa","14","19yr 11mth","24 Feb 2004","183cm","76kg","Brisbane Lions","Midfield",NA
"57","32","Fort","Darcy","33","30yr 6mth","6 Aug 1993","204cm","98kg","Central District","Forward","Ruck"
"58","27","Gardiner","Darcy","158","28yr 4mth","22 Sep 1995","192cm","91kg","Geelong Falcons","Defender",NA
"59","30","Hipwood","Eric","153","26yr 4mth","13 Sep 1997","203cm","94kg","Aspley","Forward",NA
"60","41","Joyce","Darragh","18","26yr 9mth","23 Apr 1997","195cm","96kg","Kilkenny","Defender",NA
"61","45","Lane","Kalin","0","22yr 2mth","5 Dec 2001","205cm","101kg","Claremont","Ruck",NA
"62","35","Lester","Ryan","180","31yr 5mth","26 Aug 1992","192cm","84kg","Oakleigh Chargers","Defender",NA
"63","19","Lloyd","Luke","0","18yr 5mth","8 Aug 2005","193cm","84kg","Sandringham Dragons","Forward",NA
"64","1","Lohmann","Kai","8","20yr 9mth","6 May 2003","185cm","77kg","GWV Rebels","Forward",NA
"65","17","Lyons","Jarryd","191","31yr 6mth","22 Jul 1992","184cm","86kg","Sandringham Dragons","Midfield",NA
"66","14","Madden","James","13","24yr 2mth","15 Nov 1999","188cm","88kg","Dublin","Defender",NA
"67","11","McCarthy","Lincoln","143","30yr 3mth","22 Oct 1993","178cm","82kg","Glenelg","Forward",NA
"68","6","McCluggage","Hugh","155","25yr 11mth","3 Mar 1998","185cm","84kg","North Ballarat Rebels","Midfield",NA
"69","46","McInerney","Oscar","126","29yr 6mth","10 Jul 1994","204cm","110kg","Casey Scorpions","Ruck",NA
"70","26","McKenna","Conor","105","27yr 10mth","28 Mar 1996","184cm","88kg","Eglish, Tyrone","Defender",NA
"71","39","Michael","Carter","1","21yr 8mth","22 May 2002","188cm","83kg","Maroochydore","Defender",NA
"72","13","Morris","Logan","0","18yr 8mth","10 May 2005","191cm","90kg","Western Jets","Forward",NA
"73","9","Neale","Lachie","246","30yr 8mth","24 May 1993","178cm","84kg","Glenelg","Midfield",NA
"74","40","Payne","Jack","50","24yr 3mth","15 Oct 1999","197cm","104kg","Lions Academy","Defender",NA
"75","20","Prior","Jaxon","35","22yr 8mth","4 Jun 2001","189cm","85kg","West Perth","Defender","Midfield"
"76","16","Rayner","Cameron","113","24yr 3mth","21 Oct 1999","186cm","93kg","Western Jets","Defender","Forward"
"77","38","Reville","Bruce","0","22yr 11mth","22 Feb 2001","185cm","80kg","Coates Talent League Boys","Midfield","Forward"
"78","2","Robertson","Deven","41","22yr 7mth","30 Jun 2001","185cm","84kg","Perth","Midfield","Forward"
"79","24","Ryan","Brandon","3","26yr 2mth","7 Nov 1997","200cm","91kg","Northern Bullants","Forward",NA
"80","22","Sharp","Harry","10","21yr 1mth","17 Dec 2002","182cm","76kg","Gwv Rebels","Midfield",NA
"81","25","Smith","Henry","0","21yr 4mth","24 Sep 2002","206cm","98kg","Woodville-west Torrens","Forward","Ruck"
"82","37","Starcevich","Brandon","97","24yr 6mth","24 Jul 1999","187cm","90kg","East Perth","Defender",NA
"83","36","Torrent","Reece","0","18yr 6mth","3 Aug 2005","184cm","83kg","Peel Thunder","Midfield",NA
"84","29","Tunstill","James","5","20yr 6mth","18 Jul 2003","187cm","81kg","East Perth","Midfield","Forward"
"85","44","Wilmot","Darcy","29","20yr 1mth","31 Dec 2003","183cm","79kg","Northern Knights","Defender","Midfield"
"86","21","Zakostelsky","Zane","0","18yr 1mth","14 Dec 2005","196cm","89kg","Claremont","Defender","Ruck"
"87","15","Zorko","Dayne","250","34yr 11mth","9 Feb 1989","175cm","77kg","Broadbeach","Midfield","Forward"
"88","13","Acres","Blake","145","28yr 3mth","7 Oct 1995","193cm","92kg","West Perth","Midfield",NA
"89","41","Akuei","Domanic","0","21yr 8mth","12 May 2002","194cm","86kg","Carlton Academy","Defender","Ruck"
"90","25","Binns","Jaxon","0","19yr 3mth","29 Oct 2004","183cm","72kg","Dandenong Stingrays","Midfield","Forward"
"91","37","Boyd","Jordan","16","25yr 4mth","22 Sep 1998","182cm","81kg","Footscray","Defender",NA
"92","16","Carroll","Jack","6","21yr 1mth","20 Dec 2002","188cm","83kg","East Fremantle","Midfield","Forward"
"93","32","Carroll","Matt","0","18yr 2mth","28 Nov 2005","188cm","81kg","Sandringham Dragons","Defender",NA
"94","5","Cerra","Adam","116","24yr 3mth","7 Oct 1999","188cm","87kg","Eastern Ranges","Midfield",NA
"95","39","Cincotta","Alex","19","27yr 1mth","17 Dec 1996","187cm","86kg","Newtown","Defender","Midfield"
"96","46","Cottrell","Matt","54","23yr 11mth","29 Feb 2000","184cm","83kg","Dandenong Stingrays","Midfield","Forward"
"97","2","Cowan","Lachlan","7","19yr 2mth","1 Dec 2004","188cm","82kg","Tasmania Devils","Defender",NA
"98","9","Cripps","Patrick","183","28yr 10mth","18 Mar 1995","195cm","93kg","East Fremantle","Midfield",NA
"99","28","Cuningham","David","53","26yr 10mth","30 Mar 1997","183cm","83kg","Oakleigh Chargers","Midfield","Forward"
"100","30","Curnow","Charlie","110","27yr","3 Feb 1997","194cm","94kg","Geelong Falcons","Forward",NA
"101","12","De Koning","Tom","60","24yr 6mth","16 Jul 1999","201cm","102kg","Dandenong Stingrays","Ruck",NA
"102","15","Docherty","Sam","167","30yr 3mth","17 Oct 1993","187cm","87kg","Gippsland Power","Defender","Midfield"
"103","19","Durdin","Corey","34","21yr 9mth","14 Apr 2002","173cm","76kg","Central Districts","Forward",NA
"104","38","Durdin","Sam","23","27yr 8mth","6 Jun 1996","199cm","100kg","West Adelaide","Defender",NA
"105","14","Fantasia","Orazio","99","28yr 4mth","14 Sep 1995","180cm","73kg","Norwood","Forward",NA
"106","8","Fogarty","Lachlan","55","24yr 10mth","1 Apr 1999","180cm","76kg","Western Jets","Midfield","Forward"
"107","29","Hewett","George","157","28yr 1mth","29 Dec 1995","187cm","87kg","North Adelaide","Midfield",NA
"108","20","Hollands","Elijah","14","21yr 9mth","25 Apr 2002","189cm","86kg","Murray Bushrangers","Midfield",NA
"109","4","Hollands","Oliver","19","20yr","16 Jan 2004","184cm","72kg","Murray Bushrangers","Midfield",NA
"110","17","Kemp","Brodie","23","22yr 9mth","1 May 2001","192cm","89kg","Bendigo Pioneers","Defender","Forward"
"111","7","Kennedy","Matthew","94","26yr 10mth","6 Apr 1997","188cm","91kg","Collingullie Ashmont Kapooka","Defender","Midfield"
"112","31","Lemmey","Harry","0","20yr","30 Jan 2004","201cm","95kg","West Adelaide","Forward",NA
"113","22","Marchbank","Caleb","60","27yr 1mth","7 Dec 1996","193cm","92kg","Murray Bushrangers","Defender",NA
"114","21","Martin","Jack","148","29yr","29 Jan 1995","186cm","82kg","Geraldton","Forward",NA
"115","11","McGovern","Mitch","110","29yr 3mth","11 Oct 1994","190cm","88kg","Claremont","Defender",NA
"116","10","McKay","Harry","107","26yr 1mth","24 Dec 1997","200cm","106kg","Gippsland Power","Forward",NA
"117","45","Mirkov","Alex","0","24yr 2mth","17 Nov 1999","210cm","105kg","Carlton","Ruck",NA
"118","43","Moir","Ashton","0","18yr 9mth","15 Apr 2005","188cm","85kg","Glenelg","Forward",NA
"119","34","Monahan","Rob","","","","","","","",NA
"120","3","Motlop","Jesse","33","20yr 2mth","23 Nov 2003","180cm","81kg","South Fremantle","Forward",NA
"121","24","Newman","Nic","110","31yr","15 Jan 1993","186cm","80kg","Frankston","Defender",NA
"122","40","O'Keeffe","Hudson","0","19yr 1mth","16 Dec 2004","202cm","94kg","Oakleigh Chargers","Ruck",NA
"123","44","Owies","Matt","49","26yr 10mth","19 Mar 1997","179cm","81kg","St Kevins","Forward",NA
"124","27","Pittonet","Marc","59","27yr 8mth","3 Jun 1996","202cm","107kg","Oakleigh Chargers","Ruck",NA
"125","42","Saad","Adam","177","29yr 6mth","23 Jul 1994","178cm","79kg","Coburg","Defender",NA
"126","1","Silvagni","Jack","115","26yr 1mth","17 Dec 1997","194cm","92kg","Oakleigh Chargers","Forward",NA
"127","18","Walsh","Sam","99","23yr 7mth","2 Jul 2000","184cm","84kg","Geelong Falcons","Midfield",NA
"128","23","Weitering","Jacob","159","26yr 2mth","23 Nov 1997","195cm","102kg","Mount Eliza Football Club","Defender",NA
"129","6","Williams","Zachary","136","29yr 4mth","20 Sep 1994","186cm","85kg","Narrandera","Defender",NA
"130","35","Wilson","Billy","0","18yr 7mth","16 Jun 2005","183cm","72kg","Dandenong Stringrays","Defender","Midfield"
"131","33","Young","Lewis","58","25yr 1mth","20 Dec 1998","202cm","99kg","Sturt","Defender",NA
"132","16","Allan","Edward","0","19yr 8mth","26 May 2004","194cm","84kg","Claremont","Midfield",NA
"133","39","Begg","Aiden","3","21yr 3mth","8 Oct 2002","197cm","99kg","Eastern Ranges","Forward","Ruck"
"134","14","Cameron","Darcy","72","28yr 6mth","18 Jul 1995","204cm","103kg","Claremont","Forward","Ruck"
"135","45","Carmichael","Josh","8","24yr 4mth","23 Sep 1999","190cm","88kg","West Adelaide","Midfield","Forward"
"136","46","Cox","Mason","113","32yr 10mth","14 Mar 1991","211cm","110kg","Oklahoma State","Forward","Ruck"
"137","25","Crisp","Jack","226","30yr 4mth","2 Oct 1993","190cm","91kg","Murray Bushrangers","Midfield",NA
"138","7","Daicos","Josh","103","25yr 2mth","26 Nov 1998","178cm","77kg","Oakleigh Chargers","Midfield",NA
"139","35","Daicos","Nick","47","21yr 1mth","3 Jan 2003","184cm","79kg","Oakleigh Chargers","Defender","Midfield"
"140","2","De Goey","Jordan","158","27yr 10mth","15 Mar 1996","188cm","93kg","Oakleigh Chargers","Midfield",NA
"141","43","Dean","Charlie","0","22yr 7mth","19 Jun 2001","195cm","93kg","Williamstown VFL","Defender",NA
"142","13","Demattia","Harry","0","18yr 4mth","11 Sep 2005","185cm","78kg","Dandenong Stingrays","Midfield",NA
"143","5","Elliott","Jamie","179","31yr 5mth","21 Aug 1992","178cm","83kg","Murray Bushrangers","Forward",NA
"144","17","Frampton","Billy","40","27yr 2mth","20 Nov 1996","201cm","100kg","South Fremantle","Defender","Ruck"
"145","36","Harrison","Harvey","4","20yr 2mth","10 Nov 2003","181cm","83kg","North Adelaide","Forward",NA
"146","23","Hill","Bobby","65","23yr 11mth","9 Feb 2000","175cm","71kg","Perth","Forward",NA
"147","32","Hoskin-Elliott","Will","204","30yr 5mth","2 Sep 1993","186cm","82kg","Western Jets","Midfield","Forward"
"148","38","Howe","Jeremy","233","33yr 7mth","29 Jun 1990","190cm","86kg","Hobart","Defender",NA
"149","19","Jiath","Tew","0","18yr 11mth","2 Mar 2005","188cm","72kg","Gippsland Power","Defender",NA
"150","40","Johnson","Ash","24","26yr 4mth","6 Oct 1997","193cm","91kg","Sturt","Forward",NA
"151","15","Kreuger","Nathan","9","24yr 7mth","25 Jun 1999","196cm","98kg","South Adelaide","Forward","Ruck"
"152","1","Lipinski","Patrick","95","25yr 6mth","17 Jul 1998","190cm","86kg","Northern Knights","Midfield","Forward"
"153","18","Macrae","Finlay","12","21yr 10mth","13 Mar 2002","188cm","80kg","Oakleigh Chargers","Midfield","Forward"
"154","37","Markov","Oleg","74","27yr 8mth","8 May 1996","188cm","85kg","North Adelaide","Defender",NA
"155","4","Maynard","Brayden","186","27yr 4mth","20 Sep 1996","189cm","93kg","Sandringham Dragons","Defender",NA
"156","31","McCreery","Beau","60","22yr 9mth","19 Apr 2001","186cm","86kg","South Adelaide","Forward",NA
"157","26","McInnes","Reef","11","21yr 1mth","12 Dec 2002","194cm","90kg","Oakleigh Chargers","Forward",NA
"158","11","McStay","Daniel","175","28yr 7mth","24 Jun 1995","195cm","99kg","Eastern Ranges","Forward",NA
"159","41","Mihocek","Brody","126","31yr","4 Feb 1993","192cm","99kg","Port Melbourne","Forward",NA
"160","6","Mitchell","Tom","197","30yr 8mth","31 May 1993","182cm","88kg","Claremont","Midfield",NA
"161","30","Moore","Darcy","150","28yr","25 Jan 1996","203cm","100kg","Oakleigh Chargers","Defender",NA
"162","28","Murphy","Nathan","57","24yr 1mth","15 Dec 1999","192cm","90kg","Sandringham Dragons","Defender",NA
"163","9","Noble","John","92","26yr 10mth","25 Mar 1997","180cm","72kg","West Adelaide","Defender",NA
"164","10","Pendlebury","Scott","383","36yr","7 Jan 1988","191cm","86kg","Gippsland Power","Midfield",NA
"165","3","Quaynor","Isaac","85","24yr","15 Jan 2000","180cm","88kg","Oakleigh Chargers","Defender",NA
"166","29","Richards","Joe","0","24yr 2mth","23 Nov 1999","177cm","73kg","Wangaratta Football & Netball Club Inc","Midfield","Forward"
"167","24","Ryan","Jakob","1","19yr 4mth","20 Sep 2004","189cm","80kg","Glenelg","Defender",NA
"168","8","Schultz","Lachlan","90","26yr 2mth","30 Nov 1997","178cm","81kg","Williamstown","Forward",NA
"169","22","Sidebottom","Steele","309","33yr 1mth","2 Jan 1991","184cm","86kg","Murray Bushrangers","Midfield",NA
"170","44","Steene","Oscar","0","20yr 5mth","23 Aug 2003","201cm","87kg","West Adelaide","Forward","Ruck"
"171","26","Baldwin","Kaine","8","21yr 8mth","30 May 2002","193cm","97kg","Glenelg","Defender","Forward"
"172","24","Bryan","Nick","14","22yr 3mth","22 Oct 2001","203cm","101kg","Oakleigh Chargers","Forward","Ruck"
"173","30","Caddy","Nate","0","18yr 6mth","14 Jul 2005","193cm","88kg","Northern Knights","Forward",NA
"174","6","Caldwell","Jye","55","23yr 4mth","28 Sep 2000","183cm","83kg","Bendigo Pioneers","Midfield","Forward"
"175","13","Cox","Nikolas","33","22yr","15 Jan 2002","200cm","94kg","Northern Knights","Defender","Midfield"
"176","33","Davey","Alwyn","10","19yr 11mth","26 Feb 2004","181cm","77kg","Oakleigh Chargers","Midfield","Forward"
"177","36","Davey","Jayden","0","19yr 11mth","26 Feb 2004","180cm","79kg","Oakleigh Chargers","Forward",NA
"178","2","Draper","Sam","57","25yr 4mth","28 Sep 1998","205cm","105kg","South Adelaide","Ruck",NA
"179","22","Durham","Sam","49","22yr 6mth","9 Jul 2001","185cm","84kg","Richmond","Midfield",NA
"180","28","Duursma","Xavier","73","23yr 6mth","7 Jul 2000","186cm","82kg","Gippsland Power","Midfield",NA
"181","17","Goldstein","Todd","315","35yr 7mth","1 Jul 1988","201cm","101kg","Oakleigh","Ruck",NA
"182","11","Gresham","Jade","136","26yr 5mth","24 Aug 1997","177cm","81kg","Northern Knights","Midfield","Forward"
"183","35","Guelfi","Matt","96","26yr 5mth","14 Aug 1997","184cm","82kg","Claremont","Forward",NA
"184","18","Hayes","Lewis","0","19yr 1mth","17 Dec 2004","199cm","84kg","Eastern Ranges","Defender",NA
"185","21","Heppell","Dyson","235","31yr 8mth","14 May 1992","189cm","86kg","Gippsland Power","Defender","Midfield"
"186","19","Hind","Nick","80","29yr 5mth","19 Aug 1994","180cm","78kg","Essendon Vfl","Defender",NA
"187","8","Hobbs","Ben","35","20yr 4mth","16 Sep 2003","183cm","80kg","GWV Rebels","Midfield","Forward"
"188","49","Hunter","Jaiden","0","21yr 9mth","20 Apr 2002","196cm","93kg","Perth","Forward",NA
"189","23","Jones","Harrison","31","22yr 11mth","25 Feb 2001","196cm","88kg","Calder Cannons","Forward",NA
"190","29","Kelly","Jake","148","29yr","21 Jan 1995","190cm","90kg","Oakleigh Chargers","Defender",NA
"191","4","Langford","Kyle","130","27yr 2mth","1 Dec 1996","192cm","88kg","Northern Knights","Midfield","Forward"
"192","15","Laverde","Jayden","110","27yr 9mth","12 Apr 1996","193cm","92kg","Western Jets","Defender",NA
"193","34","Lual","Luamon","0","18yr 10mth","28 Mar 2005","181cm","72kg","Greater Western Victoria Rebels","Defender",NA
"194","37","Martin","Nicholas","44","22yr 10mth","3 Apr 2001","192cm","86kg","Colts","Midfield","Forward"
"195","1","McGrath","Andrew","134","25yr 8mth","2 Jun 1998","180cm","83kg","Sandringham Dragons","Defender","Midfield"
"196","32","McKay","Ben","71","26yr 1mth","24 Dec 1997","202cm","104kg","Gippsland Power","Defender",NA
"197","47","Menzie","Jye","23","21yr 3mth","28 Oct 2002","180cm","84kg","South Adelaide","Forward",NA
"198","7","Merrett","Zachary","206","28yr 4mth","3 Oct 1995","179cm","83kg","Sandringham Dragons","Midfield",NA
"199","3","Parish","Darcy","150","26yr 6mth","25 Jul 1997","180cm","81kg","Geelong Falcons","Midfield",NA
"200","16","Perkins","Archie","62","21yr 10mth","26 Mar 2002","188cm","85kg","Sandringham Dragons","Forward",NA
"201","27","Redman","Mason","103","26yr 5mth","26 Aug 1997","187cm","87kg","Glenelg","Defender",NA
"202","31","Reid","Zach","8","21yr 11mth","2 Mar 2002","202cm","90kg","Gippsland Power","Defender",NA
"203","14","Ridley","Jordan","85","25yr 3mth","20 Oct 1998","195cm","94kg","Oakleigh Chargers","Defender",NA
"204","38","Roberts","Archie","0","18yr 2mth","18 Nov 2005","184cm","79kg","Sandringham Dragons","Defender",NA
"205","12","Setterfield","Will","67","26yr","5 Feb 1998","192cm","87kg","Sandringham Dragons","Midfield","Forward"
"206","9","Shiel","Dylan","211","30yr 10mth","9 Mar 1993","182cm","84kg","Aspendale","Midfield",NA
"207","25","Stringer","Jake","189","29yr 9mth","25 Apr 1994","192cm","92kg","Bendigo Pioneers","Forward",NA
"208","5","Tsatas","Elijah","4","19yr 3mth","18 Oct 2004","187cm","80kg","Oakleigh Chargers","Midfield","Forward"
"209","39","Visentini","Vigo","0","18yr 5mth","5 Sep 2005","204cm","99kg","Sandringham Dragons","Ruck",NA
"210","40","Wanganeen","Tex","5","20yr 3mth","10 Oct 2003","179cm","78kg","Oakleigh Chargers","Forward",NA
"211","10","Weideman","Sam","75","26yr 7mth","26 Jun 1997","197cm","99kg","Eastern Ranges","Forward",NA
"212","20","Wright","Peter","119","27yr 4mth","8 Sep 1996","203cm","102kg","Calder Cannons","Forward",NA
"213","11","Aish","James","163","28yr 3mth","8 Oct 1995","183cm","83kg","Norwood","Midfield",NA
"214","24","Amiss","Jye","25","20yr 6mth","31 Jul 2003","196cm","86kg","East Perth","Forward",NA
"215","41","Banfield","Bailey","75","25yr 11mth","26 Feb 1998","190cm","88kg","Claremont","Forward",NA
"216","8","Brayshaw","Andrew","123","24yr 2mth","8 Nov 1999","185cm","88kg","Sandringham Dragons","Midfield",NA
"217","17","Brodie","Will","54","25yr 5mth","23 Aug 1998","190cm","89kg","Murray Bushrangers","Midfield",NA
"218","5","Chapman","Heath","26","22yr","31 Jan 2002","193cm","87kg","West Perth","Defender",NA
"219","6","Clark","Jordan","79","23yr 3mth","16 Oct 2000","185cm","83kg","Claremont","Defender",NA
"220","19","Corbett","Josh","41","27yr 9mth","23 Apr 1996","190cm","88kg","Werribee","Forward",NA
"221","36","Cox","Brennan","102","25yr 5mth","13 Aug 1998","195cm","97kg","Woodville-West Torrens","Defender",NA
"222","4","Darcy","Sean","98","25yr 7mth","12 Jun 1998","203cm","111kg","Geelong Falcons","Ruck",NA
"223","12","Davies","Hugh","0","19yr 4mth","28 Sep 2004","196cm","90kg","Claremont","Defender",NA
"224","40","Delean","Jack","0","18yr 9mth","15 Apr 2005","181cm","77kg","South Adelaide","Forward",NA
"225","37","Draper","Josh","0","19yr 11mth","8 Feb 2004","197cm","92kg","Peel Thunder","Defender","Forward"
"226","18","Emmett","Tom","2","22yr 2mth","30 Nov 2001","186cm","89kg","Sturt","Forward",NA
"227","28","Erasmus","Neil","19","20yr 2mth","2 Dec 2003","190cm","82kg","Subiaco","Midfield",NA
"228","32","Frederick","Michael","58","23yr 8mth","17 May 2000","183cm","80kg","Eagles","Forward",NA
"229","7","Fyfe","Nathan","218","32yr 4mth","18 Sep 1991","191cm","94kg","Claremont","Midfield","Forward"
"230","15","Hughes","Ethan","101","29yr 1mth","7 Dec 1994","188cm","87kg","Swan Districts","Defender","Midfield"
"231","9","Jackson","Luke","75","22yr 4mth","29 Sep 2001","199cm","102kg","East Fremantle","Forward","Ruck"
"232","44","Johnson","Matt","18","20yr 10mth","16 Mar 2003","193cm","84kg","Subiaco","Midfield",NA
"233","27","Jones","Odin","0","18yr 4mth","25 Sep 2005","199cm","96kg","West Perth","Ruck",NA
"234","22","Knobel","Max","0","19yr 7mth","27 Jun 2004","206cm","93kg","Gippsland Power","Ruck",NA
"235","43","Kuek","Sebit","0","23yr 2mth","11 Nov 2000","199cm","82kg","East Perth","Forward",NA
"236","21","McDonald","Oscar","86","27yr 10mth","18 Mar 1996","196cm","100kg","North Ballarat Rebels","Defender","Forward"
"237","33","Murphy","Ollie","0","18yr 4mth","16 Sep 2005","200cm","85kg","Sandringham Dragons","Defender",NA
"238","30","O'Driscoll","Nathan","22","21yr 8mth","17 May 2002","188cm","82kg","Perth","Midfield",NA
"239","2","O'Meara","Jaeger","164","29yr 11mth","23 Feb 1994","184cm","84kg","Perth Demons","Midfield",NA
"240","25","Pearce","Alex","107","28yr 7mth","9 Jun 1995","201cm","98kg","Devonport","Defender",NA
"241","42","Reidy","Liam","0","23yr 7mth","14 Jun 2000","204cm","104kg","Frankston Dolphins","Ruck",NA
"242","13","Ryan","Luke","132","28yr","6 Feb 1996","186cm","92kg","Coburg","Defender",NA
"243","3","Serong","Caleb","80","22yr 11mth","9 Feb 2001","180cm","87kg","Gippsland Power","Midfield",NA
"244","14","Sharp","Jeremy","23","22yr 5mth","13 Aug 2001","189cm","81kg","East Fremantle","Midfield",NA
"245","29","Simpson","Cooper","0","18yr 11mth","13 Feb 2005","182cm","79kg","Dandenong Stringrays","Midfield","Forward"
